1% accept_lengths_tree: 1.3631319763624425
2% accept_lengths_tree: 1.4376078610925227
3% accept_lengths_tree: 1.476308049816637
4% accept_lengths_tree: 1.504229114111886
5% accept_lengths_tree: 1.536818352764197
6% accept_lengths_tree: 1.558656014678338
7% accept_lengths_tree: 1.569966932503404
8% accept_lengths_tree: 1.6008193523214982
9% accept_lengths_tree: 1.6076700835081332
10% accept_lengths_tree: 1.6199928540235817
12% accept_lengths_tree: 1.6266508501383947
14% accept_lengths_tree: 1.6413415468856947
16% accept_lengths_tree: 1.649519615692554
18% accept_lengths_tree: 1.6582790565961407
20% accept_lengths_tree: 1.67640977824624
40% accept_lengths_tree: 1.752729773880148
60% accept_lengths_tree: 1.7600677701029583
80% accept_lengths_tree: 1.5587950911119375
100% accept_lengths_tree: 1.7822984204342718
